uid,name,description
0b83ad557c8a47df81d2845dc11d6439,Bus,Bus
3d2fbeed83494547a0a38db053eb4ff3,Cabin,Cabin
5fd2c9bf3e834e839b26649db7afe4c1,Hat,Hat
7e8a9fbec4fa4b1f98b90a0b0f4434ea,House,House
bcd03f021ca1465c974862ec401c324a,Car,Car
9c7c1d46cd5744288dcdb39ec7ea5c8c,House,House
9d553f50adbb48aab46f3c9388076b41,Shelf,Shelf
ed42b058fda84754b4a4ce96b17bc91c,Tea Cup Low Poly Free,tea cup
bf1169aeea4c4c38918b1b3ad241fafa,Rack,Rack
d64d0e681bed4f4892bcd603f0bd506d,Piano,Piano
b752f12008f4423099351ce7b972f9ef,Tent,Tent
a4f07e22f8364317b3c83291395687d6,Igloo,Igloo
232d2be5c3b14f5fb4846fa891728b76,Tent,Tent
9176a3219f494f779ca8ea08407c4c64,Cable Car,Cable Car
b7f020e019e84602a9b29b56c3f94c2a,Carriage,Carriage
e30380ec13d740719b7de6e3113add72,GTR Interceptor,Car
